month,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,average_order_value
2017-11,1509,96186.97,-9178.52,-4790.26,82218.19,24285.32,141.24,106644.75,74.47
2017-12,2048,115695.81,-7293.81,-7592.23,100809.77,32763.98,137.92,133711.67,69.78
2018-01,657,36239.39,-2105.93,-4549.98,29583.48,11934.08,44.41,41561.97,70.84
2018-02,831,58849.48,-2683.38,-20079.95,36086.15,12420.65,51.51,48558.31,87.31
2018-03,885,100139.72,-40311.98,-5169.81,54657.93,12642.2,144.09,67444.22,82.9
2018-04,780,51798.43,-3517.26,-4515.23,43765.94,11696.37,116.6,55578.91,78.25
2018-05,1017,63803,-4952.47,-7622.75,51227.78,14798.57,62.82,66089.17,73.91
2018-06,1065,60942.15,-4095.8,-11616.44,45229.91,13474.31,180.97,58885.19,67.53
2018-07,1058,53542.51,-3255.95,-7971.88,42314.68,13983.53,49.33,56347.54,62.15
2018-08,1553,80931.93,-7685.83,-10661.27,62584.83,17760.22,148.6,80493.65,59.91
2018-09,1015,60649.99,-4908.49,-8468.2,47273.3,12566.33,26.34,59865.97,68.57
2018-10,565,32346.13,-2542.11,-4908.97,24895.05,6951.57,9.63,31856.25,66.21